   r (kpc/h)    Vrot   N(i)  Vrot(measured)   %error        Vcirc       Vc%error       vphirms/vphirm_th Vr_rms/Vr_rms_th   Vz_rms/Vz_rms_th  
    0.63840   82.52710   19.00000   73.38962    0.11072   84.12648   -0.00872    0.97691    0.82783    1.03881
    0.64120   82.71067   19.00000   86.01111   -0.03990   84.32338    0.00000    0.94330    1.00245    0.65149
    0.64400   82.89615   19.00000   76.32182    0.07931   84.52236    0.00864    0.93911    0.73780    0.81493
    0.64680   83.08157   19.00000   80.58102    0.03010   84.72108    0.00860    1.16853    0.94465    0.80198
    0.64960   83.26394   19.00000   80.24827    0.03622   84.91673    0.00856    0.73004    0.95279    0.84317
    0.65240   83.44818   19.00000   90.57330   -0.08538   85.11443   -0.00852    0.86988    0.68695    0.86742
    0.65520   83.63239   19.00000   81.05906    0.03077   85.31186   -0.00848    0.95722    1.19714    1.22008
    0.65800   83.81317   19.00000   86.67139   -0.03410   85.50614    0.00845    1.01739    0.72970    0.75262
    0.66080   83.99660   20.00000   84.78147   -0.00934   85.70271    0.00841    0.95735    1.02449    0.97595
    0.66360   84.17938   20.00000   90.30766   -0.07280   85.89867    0.00000    0.90086    1.24373    0.79873
    0.66640   84.35905   20.00000   87.52730   -0.03756   86.09175   -0.00833    1.07832    0.86413    0.95994
    0.66920   84.54108   20.00000   79.55144    0.05902   86.28694    0.00000    0.89789    1.06632    0.90826
    0.67200   84.72270   20.00000   77.03193    0.09078   86.48167    0.00000    1.00241    0.80634    1.11871
    0.67480   84.90117   20.00000   81.27577    0.04270   86.67351    0.00000    0.90524    0.99625    0.78737
    0.67760   85.08220   20.00000  105.60923   -0.24126   86.86755    0.00818    1.03018    0.94446    1.03243
    0.68040   85.26012   20.00000   82.74592    0.02949   87.05860    0.00000    0.91245    0.90975    1.08763
    0.68320   85.43980   20.00000   72.72513    0.14881   87.25154   -0.00811    0.72647    0.88188    0.97324
    0.68600   85.61940   20.00000   77.86363    0.09058   87.44420    0.00000    0.83881    1.10639    0.86733
    0.68880   85.79625   20.00000  101.36087   -0.18141   87.63411    0.00000    1.12736    0.85342    1.15435
    0.69160   85.97484   20.00000   80.54961    0.06310   87.82588    0.00000    0.78785    1.07044    0.93175
    0.69440   86.15327   20.00000   74.25587    0.13810   88.01730   -0.00797    0.92013    0.82248    1.14188
    0.69720   86.32896   20.00000   87.33247   -0.01162   88.20596   -0.00794    0.97474    0.86112    0.88318
    0.70000   86.50645   20.00000   79.59389    0.07991   88.39660   -0.00790    0.86685    0.89998    1.18628
    0.70280   86.68362   20.00000   86.23473    0.00518   88.58667    0.00787    1.00276    0.97934    1.03789
    0.70560   86.85833   21.00000   80.92506    0.06831   88.77431    0.00000    0.99466    1.09329    0.85387
    0.70840   87.03465   21.00000   88.07552   -0.01196   88.96376    0.00000    0.98429    0.69107    0.91859
    0.71120   87.21071   21.00000   82.39726    0.05519   89.15265    0.00000    1.10323    0.89983    0.62896
    0.71400   87.38396   21.00000   89.98729   -0.02979   89.33902    0.00000    0.97569    0.95163    1.14475
    0.71680   87.55920   21.00000   88.48306   -0.01055   89.52710   -0.00770    0.85433    0.93273    0.98624
    0.71960   87.73429   21.00000   86.70055    0.01178   89.71497    0.00000    1.27086    1.22327    0.84862
    0.72240   87.90650   21.00000   91.07140   -0.03600   89.90022    0.00000    1.11768    0.93739    0.98565
    0.72520   88.08074   21.00000   83.51492    0.05184   90.08723   -0.00761    0.93408    0.84737    0.80049
    0.72800   88.25451   21.00000   94.73654   -0.07345   90.27375    0.00000    0.98560    1.08965    0.86894
